Squadra,ASCOLI,,,BASKET GIOVANE,,,FALCONARA,,,FOSSOMBRONE,,,GUALDO,,,LORETO,,,OSIMO,,,P.S. GIORGIO,,,PERUGIA,,,RECANATI,,,SAN MARINO,,,SPOLETO,,,TOLENTINO,,,UMBERTIDE,,,URBANIA,,
ASCOLI,,,,,,,13,66,81,,,,3,75,88,9,42,83,,,,7,79,76,,,,5,70,93,17,70,90,,,,1,52,89,11,76,64,15,58,68
BASKET GIOVANE,8,71,89,,,,,,,,,,10,76,83,16,59,75,4,55,76,14,47,66,,,,12,72,67,,,,6,72,59,,,,,,,,,
FALCONARA,,,,5,72,64,,,,1,51,83,,,,,,,9,65,55,,,,3,62,93,17,64,67,14,62,78,,,,10,77,67,,,,12,63,69
FOSSOMBRONE,4,80,70,11,81,52,16,67,79,,,,6,79,60,,,,15,72,40,,,,9,98,57,,,,,,,2,89,52,,,,,,,,,
GUALDO,,,,,,,15,84,76,,,,,,,11,45,71,,,,9,78,60,,,,7,77,68,4,69,78,,,,,,,13,99,75,2,67,81
LORETO,,,,1,105,45,6,86,61,12,80,70,,,,,,,,,,,,,14,63,45,,,,10,73,55,,,,17,97,48,4,103,45,8,94,67
OSIMO,12,88,84,,,,,,,,,,14,77,87,5,53,99,,,,3,55,62,17,73,58,1,53,76,,,,10,96,69,8,84,71,7,100,64,,,
P.S. GIORGIO,,,,,,,4,88,66,10,84,78,,,,15,83,75,,,,,,,12,67,78,,,,8,78,74,,,,,,,2,84,51,6,62,71
PERUGIA,6,85,72,13,53,55,,,,,,,8,58,74,,,,2,74,54,,,,,,,10,69,62,,,,4,94,49,,,,16,90,42,,,
RECANATI,,,,,,,2,85,68,8,80,83,,,,13,67,86,16,74,54,11,75,66,,,,,,,6,67,70,,,,,,,15,100,39,4,73,55
SAN MARINO,2,65,50,9,80,67,,,,5,67,63,,,,,,,13,80,62,,,,7,74,75,,,,,,,15,86,61,,,,,,,16,68,73
SPOLETO,14,65,52,,,,11,60,71,17,59,73,1,68,78,7,44,83,,,,5,79,69,,,,3,44,63,,,,,,,12,67,68,9,53,59,,,
TOLENTINO,16,100,68,15,41,52,,,,7,55,68,5,53,63,2,53,68,,,,13,80,72,11,68,62,9,56,75,3,58,75,,,,,,,,,,,,
UMBERTIDE,,,,3,91,68,8,73,69,14,56,94,,,,,,,,,,17,51,69,1,68,78,,,,12,39,91,,,,6,77,82,,,,10,59,86
URBANIA,,,,7,83,70,,,,3,75,64,17,84,54,,,,11,88,65,,,,5,67,54,,,,1,75,45,13,89,59,14,83,62,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
