IDpartita,IDgiocatore,T1ok,T1err,T2ok,T2err,T3ok,T3err,ROff,RDif,PRec,PPer,Ass,SDat,SSub,FCom,FTec,FSub,Espu,Info,Entr,Usci,Punti,Minuti,ValutazioneLega,ValutazioneOER,ValutazioneVIR
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,1,2,1,3,0,0,3,0,0,0,0,3,0,1,0,0,7,4,5,21.70088679,1,0.714285714,0.172803998
1,4,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,2,3,3,13.64954526,7,1.5,0.567784483
1,5,7,3,5,2,0,2,0,5,4,0,5,0,0,0,0,7,0,0,5,4,17,32.48310245,31,1.214285714,0.962038649
1,8,3,2,3,2,2,5,3,1,1,1,0,0,0,3,0,4,0,0,5,5,15,27.66978243,11,0.967741935,0.533072497
1,9,0,0,1,1,2,0,0,0,0,0,3,0,0,2,0,0,0,0,4,3,8,22.75297301,8,2,0.51641603
1,12,2,1,3,6,0,1,1,2,0,0,0,0,0,2,0,3,0,0,9,4,8,26.28160252,4,0.695652174,0.209271866
1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,1,1,2,3,0,0,1,2,2,0,2,0,0,3,0,1,0,0,6,5,5,16.4956594,6,0.833333333,0.545598074
1,16,0,0,6,1,2,3,1,3,1,1,1,0,0,4,0,0,0,0,5,5,18,25.99687074,15,1.384615385,0.730857194
1,21,0,0,0,1,1,0,0,1,0,1,0,0,0,2,0,0,0,0,4,3,3,7.516897552,0,1,0.199550412
1,34,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,3,4,0,5.452679857,-3,0,-0.366792119
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,1,0,4,0,1,0,1,0,0,0,2,0,1,0,0,6,6,0,20.64803432,-6,0,-0.217938421
2,4,0,0,0,0,2,1,0,0,0,0,1,0,0,2,0,0,0,0,5,4,6,11.56122798,4,2,0.583848014
2,5,4,2,1,2,1,4,0,6,4,2,1,0,1,1,0,5,0,0,5,3,9,33.89604195,13,0.692307692,0.413027575
2,8,1,1,2,3,0,1,1,4,2,1,0,0,1,1,0,1,0,0,6,4,5,24.99943948,5,0.625,0.270006054
2,9,2,1,2,0,0,2,0,8,1,1,0,0,0,1,0,3,0,0,6,6,6,24.00023123,13,0.923076923,0.458328918
2,12,1,2,9,3,1,1,3,7,2,2,4,1,0,1,1,4,0,0,9,6,22,31.49610673,34,1.257142857,1.135060924
2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,14,1,1,1,2,0,1,3,1,1,2,0,0,0,5,0,2,0,0,5,3,3,15.84026986,-1,0.428571429,0.142043035
2,16,2,0,1,3,0,5,1,2,0,5,1,0,0,3,0,2,0,0,7,8,4,19.2547175,-6,0.266666667,-0.168789804
2,21,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,4,4,3,6.103960053,-1,1,0.122871053
2,34,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,12.1999709,0,0.5,0.102459261
3,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,2,3,6.678353759,5,1.5,0.636384378
3,2,1,1,4,2,4,7,0,1,1,1,0,0,1,1,0,2,0,0,5,4,21,27.41327769,12,1.105263158,0.620137446
3,4,0,0,0,2,0,2,0,1,2,0,0,0,0,2,0,1,0,0,4,3,0,12.58672231,-2,0,-0.059586601
3,5,3,3,0,0,1,3,1,2,4,4,2,0,3,4,0,3,0,0,6,5,6,31.81950362,1,0.545454545,0.251418127
3,8,4,2,4,2,0,1,6,4,1,2,0,0,0,2,0,7,0,0,5,4,12,31.60706629,21,1,0.656498765
3,9,0,0,1,0,0,1,2,2,1,1,0,0,0,2,0,2,0,0,6,5,2,15.9950084,5,0.666666667,0.328227399
3,12,4,1,5,8,0,0,1,7,1,3,0,0,0,2,0,5,0,0,7,5,14,32.39792531,14,0.756756757,0.416693349
3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,14,0,0,3,3,1,1,0,0,1,3,0,0,0,3,0,0,0,0,4,3,9,13.32164624,0,0.818181818,0.225197393
3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,21,0,0,1,0,0,1,0,0,2,1,0,0,0,1,0,1,0,0,3,2,2,8.180496384,2,0.666666667,0.275044434
3,34,0,0,1,2,0,1,1,4,1,0,1,0,0,0,0,1,0,0,4,2,2,20,7,0.5,0.35
4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,4,0,4.111225776,0,0,0.060809115
4,2,3,0,4,1,4,5,0,0,1,0,3,0,0,1,0,4,0,1,6,3,23,35.37635083,24,1.483870968,0.777355475
4,4,0,0,0,0,0,2,0,1,0,1,0,0,0,2,0,0,0,0,1,1,0,4.282265794,-4,0,-0.642183398
4,5,4,2,1,2,1,2,2,7,4,5,3,0,0,2,0,8,0,0,6,3,9,37.42883625,20,0.642857143,0.527668022
4,8,0,0,5,1,0,0,2,2,1,3,0,0,0,3,0,0,0,0,5,3,10,20.35436526,8,1.111111111,0.479012726
4,9,1,0,2,2,1,1,1,2,1,0,0,0,0,1,0,2,0,0,6,4,8,25.50189164,10,1.230769231,0.411734163
4,12,1,1,3,3,0,0,0,6,0,3,1,0,0,4,0,2,0,0,8,4,7,20.42738639,5,0.7,0.305961804
4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0.044713936,0,0,0
4,14,2,1,9,4,0,3,5,4,2,0,0,1,0,1,0,2,0,0,5,3,20,24.99490363,25,1.142857143,1.070218169
4,16,1,1,1,5,1,3,0,1,4,1,0,0,0,3,1,2,0,0,5,7,6,18.3146487,0,0.5,0.177453581
4,21,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,4,0,2.571163753,0,0,0.097232236
4,34,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,5,0,6.592248032,-2,0,-0.227539982
5,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8.676377865,4,0,0.374580274
5,2,5,1,1,1,1,6,1,0,2,3,1,0,1,1,0,4,0,0,6,5,10,27.89226156,5,0.666666667,0.286817904
5,4,0,0,0,0,1,4,1,1,0,2,1,0,1,2,0,0,0,0,4,5,3,16.63212268,-3,0.428571429,0.060124617
5,5,0,0,1,2,1,2,0,2,3,0,3,0,0,0,0,3,0,0,6,4,5,29.13851893,12,0.833333333,0.446144845
5,8,3,4,3,1,1,0,2,2,2,1,1,1,0,3,0,4,0,0,7,5,12,20.62830063,15,1.263157895,0.848349087
5,9,4,1,1,2,1,2,1,0,0,0,1,0,0,0,0,3,0,0,5,4,9,20.71989921,9,1.058823529,0.494693526
5,12,5,2,5,4,0,0,1,2,0,3,0,3,1,1,0,5,0,0,6,4,15,28.16405424,15,0.967741935,0.532593776
5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.967215774,0,0,0
5,14,3,1,0,5,0,0,2,1,3,3,1,0,1,5,1,2,0,0,7,6,3,18.4559232,-3,0.3,0.108366294
5,16,0,0,0,0,0,2,0,0,0,2,0,0,0,5,0,0,0,0,5,5,0,10.44210827,-9,0,-0.574596609
5,21,1,0,2,0,0,1,0,1,2,1,1,0,0,2,1,1,0,0,5,4,5,10.80659721,6,1.111111111,0.647752467
5,34,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,1,0,0,4,5,0,7.476620439,-5,0,-0.468125944
6,1,0,2,1,1,0,0,0,5,0,1,0,0,0,1,0,2,0,0,2,2,2,9.452246112,4,0.5,0.37028236
6,2,0,0,2,1,0,3,0,1,0,0,3,0,0,1,0,0,0,0,4,3,4,19.57125839,3,0.666666667,0.293798175
6,4,0,0,0,0,1,3,0,1,1,0,2,0,0,2,0,1,0,0,3,4,3,10.55849759,3,0.75,0.520907445
6,5,2,0,0,0,0,5,1,2,4,1,3,0,1,2,0,3,0,0,7,6,2,23.32214469,6,0.285714286,0.38589933
6,8,0,0,2,2,1,2,0,3,0,0,1,0,0,1,0,1,0,0,4,4,7,20.51179769,7,1,0.402207555
6,9,0,0,1,1,1,0,1,1,1,0,2,0,0,1,0,1,0,0,5,3,5,20.598939,9,1.666666667,0.521871539
6,12,2,2,0,4,1,2,0,7,1,1,1,0,0,1,1,3,0,0,5,4,5,21.9671278,7,0.5,0.352799878
6,13,0,0,1,0,1,2,2,2,0,0,1,1,0,0,0,0,0,0,2,0,5,10,9,1.25,1.025
6,14,3,0,4,1,3,1,0,2,4,0,3,1,0,3,0,3,0,0,7,5,20,17.57698645,28,1.904761905,1.749446646
6,16,2,0,4,3,2,1,0,2,0,1,0,0,0,3,0,2,0,0,4,3,16,23.08500102,12,1.333333333,0.606454381
6,21,0,0,1,3,1,2,1,2,0,0,0,0,0,4,0,0,0,0,3,2,5,16.67785531,-1,0.714285714,0.14989937
6,34,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,3,3,3,6.67814593,3,1.5,0.636404182
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1.205245631,0,0,0
7,2,1,1,1,3,3,6,0,1,1,1,2,0,1,4,0,2,0,0,6,6,12,29.25562198,2,0.8,0.307633179
7,4,0,0,0,0,0,2,0,0,1,1,0,0,0,3,0,0,0,0,5,5,0,8.032764337,-5,0,-0.373470436
7,5,0,1,2,3,2,3,0,2,5,2,0,0,0,0,0,3,0,0,6,6,10,25.59906222,11,0.8,0.468767172
7,8,0,0,0,2,0,2,0,2,1,4,1,1,1,3,0,1,0,0,11,7,0,23.6002445,-6,0,-0.137710438
7,9,0,0,2,0,1,1,0,0,3,1,0,0,0,1,0,1,0,0,7,3,7,28.75499255,8,1.4,0.304294984
7,12,8,3,4,1,3,1,0,7,1,3,0,0,0,5,1,6,0,0,8,6,25,30.08806965,26,1.428571429,0.905674585
7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,14,9,2,3,3,0,0,1,2,4,4,1,0,0,3,0,9,0,0,10,6,15,27.36406724,20,0.967741935,0.694341226
7,16,0,0,1,1,0,2,0,3,0,0,3,0,0,3,0,1,0,0,4,5,2,21.53956583,3,0.5,0.255344051
7,34,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,2,4,0,4.560366053,2,0,0.328920964
8,1,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,4,4,2,10.69746639,0,1,0.093480079
8,2,2,1,2,0,4,5,0,1,1,1,1,0,0,2,0,1,0,0,6,6,18,36.14187444,13,1.333333333,0.484202888
8,4,3,2,1,0,0,8,0,6,5,0,3,0,0,2,1,2,0,0,6,6,5,18.34945367,9,0.434782609,0.653970424
8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,0,1,1,2,0,0,1,0,0,2,0,1,0,2,0,1,0,0,3,3,2,11.89641029,-2,0.363636364,-0.042029485
8,9,0,0,0,1,0,1,2,4,3,1,0,0,0,0,0,1,0,0,8,8,0,27.41242487,7,0,0.237118753
8,12,3,4,7,6,1,1,3,7,3,1,2,0,0,1,0,5,0,0,7,5,20,33.02319851,27,1.025641026,0.885740974
8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,14,0,0,0,5,2,3,2,3,5,3,1,1,0,3,0,1,0,0,9,6,6,22.52003911,5,0.461538462,0.399644066
8,16,0,0,2,5,1,1,0,3,1,0,0,0,0,4,1,0,0,0,6,4,7,15.05782402,1,0.777777778,0.282245296
8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3.192521973,0,0,0
8,34,0,0,0,1,1,1,0,3,1,0,1,0,0,2,0,1,0,0,5,3,3,21.70878672,5,1,0.287901857
9,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,1,0,5.660748027,1,0,0.264982648
9,2,0,0,3,2,3,2,0,1,1,3,1,0,0,1,0,0,0,0,6,5,15,27.41006982,10,1.153846154,0.483398988
9,4,0,0,0,0,1,0,0,0,1,0,1,0,0,3,0,0,0,0,3,2,3,12.02672971,2,3,0.374166553
9,5,1,1,0,3,0,1,1,5,0,0,3,0,0,0,0,6,0,0,7,5,1,26.50578265,11,0.2,0.377276164
9,8,2,0,1,2,0,2,2,3,2,1,0,0,0,0,0,1,0,0,5,5,4,15.93540393,7,0.571428571,0.454961796
9,9,1,1,4,1,0,2,1,1,0,0,1,0,0,2,0,1,0,0,5,4,9,23.91317506,7,1.125,0.386816053
9,12,3,1,6,3,2,1,0,10,3,2,0,2,0,1,0,2,0,0,8,5,21,31.07708646,30,1.3125,0.933163411
9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
9,14,5,1,6,3,0,1,2,2,3,2,3,1,1,3,0,4,0,0,7,5,17,26.29948439,21,1.133333333,0.922071309
9,16,0,0,0,2,1,4,0,3,2,1,1,0,0,2,1,1,0,0,6,7,3,18.01580589,1,0.375,0.180397148
9,21,0,0,1,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,3,3,2,5.491767348,-1,1,0.273136115
9,34,0,0,0,1,0,1,0,0,0,1,0,1,1,3,0,0,0,0,4,4,0,7.663946713,-6,0,-0.424063491
10,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,2,1,1.87485113,-1,0.5,-0.266687841
10,2,0,1,1,1,1,4,0,0,0,1,1,0,0,3,0,1,0,0,6,6,5,27.33351837,-3,0.588235294,0.027438839
10,4,4,1,1,0,3,0,1,2,0,0,0,0,0,1,0,2,0,0,6,6,15,16.56782754,18,2.307692308,1.161890414
10,5,4,0,2,0,0,1,0,6,2,1,3,0,0,2,0,2,0,0,7,3,8,28.74007184,17,1.333333333,0.600207268
10,8,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,4,0,0,9,4,5,26.40404911,7,1.25,0.246174364
10,9,0,0,2,1,0,2,2,1,1,1,0,0,0,0,0,0,0,0,4,4,4,17.06986172,4,0.666666667,0.292913914
10,12,4,3,7,2,1,1,2,5,0,2,2,0,0,3,0,8,0,0,8,5,21,29.53636101,27,1.272727273,0.931055792
10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,14,7,3,2,7,0,3,1,3,0,4,2,0,0,2,0,6,0,0,7,5,11,27.76071303,4,0.523809524,0.234143842
10,16,0,2,1,2,0,2,0,3,2,3,0,0,0,2,0,1,0,0,4,6,2,12.99951258,-3,0.222222222,-0.096157451
10,21,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,2,2,0,4.64109733,-1,0,-0.053866571
10,34,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,2,3,0,7.07213635,3,0,0.353499972
11,1,1,3,2,0,0,0,0,4,2,1,0,0,0,3,0,2,0,0,5,2,5,14.28906577,6,1,0.489885071
11,2,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,5,4,2,20.58620497,0,0.666666667,0.048576219
11,4,1,1,0,0,2,2,0,0,1,0,1,0,0,2,0,1,0,0,3,3,7,14.13859342,5,1.4,0.565827149
11,5,4,2,0,2,1,2,1,4,2,0,1,0,0,1,0,5,0,0,5,3,7,23.53338536,13,0.875,0.563029917
11,8,5,0,4,0,0,2,1,2,1,2,0,1,0,0,0,3,0,0,6,4,13,19.81001668,17,1.238095238,0.782432456
11,9,2,0,1,1,1,1,1,2,0,1,1,0,0,3,0,2,0,0,5,4,7,23.69485435,7,1.166666667,0.369278488
11,12,1,1,7,2,0,0,0,5,1,1,4,2,0,3,2,1,0,0,6,5,15,23.25567902,21,1.363636364,0.999755801
11,13,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,3,4,4,10.21137269,6,1.333333333,0.489650133
11,14,1,1,0,4,0,0,1,3,2,3,0,1,0,2,0,1,0,0,5,3,1,16.56159779,-1,0.125,0.015095162
11,16,4,0,2,2,0,1,0,1,1,0,1,0,0,3,1,2,0,0,5,5,8,16.00149197,7,1.142857143,0.531200467
11,21,0,0,3,0,0,1,0,0,2,1,1,0,0,0,0,1,0,0,4,4,6,16.48082341,8,1.2,0.500581785
11,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1.436914565,0,0,0
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.57872456,0,0,0
12,2,2,0,1,1,0,4,0,0,1,1,1,0,0,1,0,1,0,0,4,5,4,26.40148787,0,0.5,0.066284143
