ID,IDpartita,IDevento,IDgiocatore,Tempo,Secondi,X,Y
1,1,18,5,1,0,0,0
2,1,18,8,1,0,0,0
3,1,18,12,1,0,0,0
4,1,18,2,1,0,0,0
5,1,18,14,1,0,0,0
6,1,18,2,1,0,0,0
7,1,18,8,1,0,0,0
8,1,18,5,1,0,0,0
9,1,18,14,1,0,0,0
10,1,18,12,1,0,0,0
11,1,7,14,1,22.9143591,0,0
12,1,3,5,1,29.06677913,30.60747664,38.57142857
13,1,13,2,1,34.50168546,0,0
14,1,7,5,1,35.99904875,0,0
15,1,5,12,1,52.46366639,58.17757009,76.76190476
16,1,7,12,1,70.73033039,0,0
17,1,2,12,1,88.48540755,19.50934579,56.19047619
18,1,7,5,1,107.3529852,0,0
19,1,2,14,1,117.4166469,51.86915888,45.71428571
20,1,2,-1,1,138.414415,5,0
21,1,15,8,1,162.1282253,8,0
22,1,0,8,1,162.1282253,0,0
23,1,1,8,1,162.1282253,0,0
24,1,7,5,1,199.6099469,0,0
25,1,2,5,1,199.6099469,17.75700935,58.57142857
26,1,2,-1,1,224.352074,8,0
27,1,6,14,1,244.3884574,0,0
28,1,10,14,1,244.3884574,0,0
29,1,2,8,1,244.3884574,28.15420561,45.23809524
30,1,15,8,1,244.3884574,3,0
31,1,0,8,1,244.3884574,0,0
32,1,7,5,1,260.8082874,0,0
33,1,10,5,1,265.2890958,0,0
34,1,2,2,1,265.2890958,19.97663551,57.42857143
35,1,15,5,1,274.6525652,9,0
36,1,2,12,1,284.5846173,24.18224299,61.23809524
37,1,8,5,1,308.4489205,0,0
38,1,2,5,1,308.4489205,22.6635514,43.9047619
39,1,13,8,1,324.1661798,0,0
40,1,7,14,1,333.266898,0,0
41,1,2,8,1,348.9436343,41.23831776,51.9047619
42,1,8,14,1,371.868648,0,0
43,1,10,14,1,373.6463231,0,0
44,1,4,2,1,377.9292774,71.61214953,49.80952381
45,1,13,14,1,394.9680137,0,0
46,1,2,-1,1,394.9680137,9,0
47,1,7,12,1,397.6445027,0,0
48,1,3,12,1,418.0342808,27.10280374,77.14285714
49,1,8,2,1,434.3055286,0,0
50,1,5,8,1,440.429322,38.6682243,10.0952381
51,1,13,2,1,440.429322,0,0
52,1,19,2,1,440.429322,0,0
53,1,19,12,1,440.429322,0,0
54,1,18,16,1,440.429322,0,0
55,1,18,34,1,440.429322,0,0
56,1,2,-1,1,466.1508962,10,0
57,1,2,16,1,488.2666609,12.14953271,23.9047619
58,1,2,-1,1,498.4555351,10,0
59,1,19,5,1,498.4555351,0,0
60,1,18,21,1,498.4555351,0,0
61,1,9,21,1,509.0321269,0,0
62,1,4,-1,1,521.0434105,5,0
63,1,3,21,1,538.8515666,37.26635514,24.57142857
64,1,3,16,1,542.4984223,20.67757009,21.04761905
65,1,7,16,1,554.3963619,0,0
66,1,10,16,1,564.9256807,0,0
67,1,4,8,1,567.1853832,69.85981308,51.71428571
68,1,13,34,1,583.6653265,0,0
69,1,0,-1,1,584.3188132,3,0
70,1,5,16,1,594.9376713,63.43457944,67.23809524
71,1,6,8,1,594.9376713,0,0
72,1,3,14,1,594.9376713,51.86915888,29.61904762
73,1,19,21,2,0,0,0
74,1,19,8,2,0,0,0
75,1,19,14,2,0,0,0
76,1,19,34,2,0,0,0
77,1,19,16,2,0,0,0
78,1,19,8,2,0,0,0
79,1,18,12,2,0,0,0
80,1,19,14,2,0,0,0
81,1,18,9,2,0,0,0
82,1,18,21,2,0,0,0
83,1,18,12,2,0,0,0
84,1,18,34,2,0,0,0
85,1,18,16,2,0,0,0
86,1,18,9,2,0,0,0
87,1,9,34,2,16.8816155,0,0
88,1,13,9,2,30.84020704,0,0
89,1,4,21,2,57.75106695,12.5,94.85714286
90,1,7,16,2,83.74633226,0,0
91,1,10,9,2,99.83402445,0,0
92,1,2,16,2,101.4491042,26.98598131,45.80952381
93,1,2,-1,2,123.6103523,10,0
95,1,3,12,2,158.3790322,23.8317757,28.66666667
96,1,13,34,2,164.4854548,0,0
97,1,19,34,2,164.4854548,0,0
98,1,18,4,2,164.4854548,0,0
99,1,19,21,2,164.4854548,0,0
100,1,18,5,2,164.4854548,0,0
